Row Labels,Sum of Hits
/admin,362
/admin/ContactInfo,88
/admin/ErrorAlerts,6
/admin/Inservice/ResetDisplay,14
/admin/MigrationProcess,14
/admin/RepairCenters,2318
/admin/SupportSchedule,26
/admin/User,595
/admin/User/MakeMeYou,3
/MWM/OrderDispatch,70
/MWM/OrderDispatch/Summary,9
/MWM/OrderWork/Summary,252
/MWM/Support,996
/MWM/Support/UnitLookup,1627
/MWM/Support/UnitStatus,1907
/MWM/Work/ByUnit,2122
/MWM/Work/Summary,4659
/OMS/Crews/ModemStatus/Summary,11
/OMS/EventBatch,192
/OMS/Work/ByDay,81
/OMS/Work/ByUser,552
/OMS/Work/Summary,187
?form,732
admin/db_schema_both.htm,24
avl,56
ChangePassword,527
Corrections/MyCorrections,195
Corrections/NewCorrection,34
Crew/Active,415288
Crew/Active/Find,1330
Crew/Active/Overtime,1166
Customers/CI,73945
Customers/CI/Summary,82323
Customers/Out/Critical,90713
Customers/Out/POI,1505
CustomersStillOut,584
dmssupport,3562
DOCSummary,39104073
edctgmwps1,7
ExternalLink/DistributionReportsSummary,67
ExternalLink/EarlyWarningSystem,23
Help,275
lv01335,7
MWM/CISOrder,80
MWM/ClosedOrder,1496
MWM/ElectricOps/GuardLight/Repair,24
MWM/ElectricOps/NewMeterSets,152
MWM/ElectricOps/SOAR/UGInstall,203
MWM/FindOrder/Meter,474
MWM/FindOrder/Premise,7082
MWM/OpenOrdersByUnit,42660
MWM/OpenOrderSummary,19220
Mwm/Order,10967
MWM/OrderFuture,840
MWM/OrderHistory/TDTR,84447
MWM/OrdersByStatus/Summary,11280
MWM/OrderSummary,146
MWM/OrderWork/Incompleted,231
MWM/OverdueOrder,106
MWM/OverdueOrder/Summary,231
MWM/ScheduledOrders/SummaryByDgroup,205
MWM/SearchOrders,2516
MWM/Summary,80
NodeAccess,3523
OMS/AMI/Events,462
OMS/AMI/PingResponseForMeter,993
OMS/AMI/PingResponseForPremise,204
OMS/AMI/SearchRequests,26
OMS/Call,53
OMS/CallSearch,1672
OMS/Claim/History,7029
OMS/Device/Abnormal,203
OMS/Device/ConnectivityErrors,1010
OMS/Device/DeviceTrips,82
OMS/Device/Feeders,3555
OMS/Device/Normal,72
OMS/Device/RepeatInterruptions,1493
OMS/Device/RepeatInterruptions/Actions/Find,111
OMS/Device/RepeatInterruptions/Events,4365
OMS/Device/Tags,2661
OMS/DISFix,12
OMS/DSO,334
OMS/ETOR/Changes,111
OMS/ETOR/RestorationSummary,228
OMS/Event,46
OMS/Event/Find,56699
OMS/Event/Find/Maximo,5763
OMS/Event/Find/WithWorkOrder,4405
OMS/Event/OpenEvents/WithClosedOrders,388
OMS/EventSearch/BrushPickup,116
OMS/EventSearch/Closed,20395
OMS/EventSearch/TreeTrim,186
OMS/Export/Customers,97
OMS/Interruption/History,1120
OMS/MeterInterruptions,38
OMS/MissedETOREvent,842
OMS/NotificationByFeeder,2412
OMS/OpenEvents/AgingTickets,4121355
OMS/OpenEvents/InMWM,138
OMS/OpenEvents/PowerQuality,15729
OMS/OpenEvents/ServiceDamage,715
OMS/OpenEvents/SummaryByNode,41377
OMS/OpenEvents/WithOpenOrders,8594
OMS/outage,42
OMS/Outage/History/Chart,18445
OMS/Outage/Open,12047520
OMS/Outage/Open/ByCity,61991
OMS/Outage/Open/ByCounty,30716
OMS/Outage/Open/ByZip,34405
OMS/Outage/Open/FeedersWithTrouble,79757
OMS/Outage/Open/ForCity,63309
OMS/PCLogger/History,215
OMS/PlannedOutage,2
OMS/PlannedOutage/Find,12
OMS/PlannedOutage/Search,1109
OMS/PremiseRunback,149366
OMS/ResponseTime,256
OMS/Restored/History/Chart,152
OMS/RestoredCustomers,275
OMS/ServiceRepair/History,140
OMS/SwitchPlan,345
OMS/SwitchPlan/History,2962
OMS/TroubleshootingSummary,120703
OMS/WorkOrder/History,38269
OMS/WorkOrder/History/Chart,414
OMS/WorkOrder/Open,1002763
OMS/WorkOrder/Open/FeedersSummary,4095
OMS/WorkOrder/Open/Summary,1300623
OMS/WorkOrder/Summary,505
OMS/XfmrChangeOut/Summary,9
OMSR,46728
OutageMap,66740848
pons,3
PowerFactor,828
Scada/Alarm,568
Scada/Alarm/Current,1963
Scada/Alarm/History,1088
SCADA/Comm,643
SCADA/DA,4498
Scada/Device,25017
Scada/DeviceCount/ByFeeder,95
SCADA/EventSearch,429
Scada/FaultCurrent,162
Scada/FaultHistory,100
Scada/FCI,160
Scada/IssueTags,221
SCADA/Map,1487
Scada/Summary,7748
Scada/Switch,55273
SCADA/Team,228
ScadaAutomation,52
SearchEvent,872707
SendWordNow,14525
Storm/ETORSummary,2179
Storm/FireCall,223466
Storm/OnDuty,62551
StormDuty,16
swagger,182
SwitchAppt,7642
switchgear/fail/system,90
User/Settings,2116
VMJobPriority,376
Work/Session,165
